source_file,link_type,x_m,y_m,distance_m,throughput_mbps,fitted_capacity_mbps,note
air_air_data.csv,air_air,0.0,0.0,1.0,448.0,218.9621189303627,fitted reference value
air_air_data.csv,air_air,0.0,200.0,200.0,104.0,77.22897014421275,fitted reference value
air_air_data.csv,air_air,0.0,400.0,400.0,73.0,58.68709940212163,fitted reference value
air_air_data.csv,air_air,1000.0,0.0,1000.0,115.0,34.19181558161006,fitted reference value
air_air_data.csv,air_air,1000.0,200.0,1019.803902718557,105.0,33.66876152565746,fitted reference value
air_air_data.csv,air_air,1000.0,400.0,1077.0329614269008,85.0,32.21326530884305,fitted reference value
air_air_data.csv,air_air,2000.0,0.0,2000.0,92.0,16.01598873516025,fitted reference value
air_air_data.csv,air_air,2000.0,200.0,2009.975124224178,70.0,15.891464825422986,fitted reference value
air_air_data.csv,air_air,2000.0,400.0,2039.607805437114,48.0,15.526247074331799,fitted reference value
air_air_data.csv,air_air,3000.0,0.0,3000.0,70.0,6.903643132849802,fitted reference value
air_air_data.csv,air_air,3000.0,200.0,3006.6592756745817,67.0,6.862489530888547,fitted reference value
air_air_data.csv,air_air,3000.0,400.0,3026.5491900843112,48.0,6.740875272915389,fitted reference value
air_air_data.csv,air_air,4000.0,0.0,4000.0,0.0,2.7565462529723974,fitted reference value
air_air_data.csv,air_air,4000.0,200.0,4004.9968789001573,0.0,2.7439615774160284,fitted reference value
air_air_data.csv,air_air,4000.0,400.0,4019.950248448356,0.0,2.7066624337698784,fitted reference value
air_air_data_1.csv,air_air,0.0,0.0,1.0,432.0,218.9621189303627,fitted reference value
air_air_data_1.csv,air_air,0.0,200.0,200.0,106.0,77.22897014421275,fitted reference value
air_air_data_1.csv,air_air,0.0,400.0,400.0,74.0,58.68709940212163,fitted reference value
air_air_data_1.csv,air_air,1000.0,0.0,1000.0,113.0,34.19181558161006,fitted reference value
air_air_data_1.csv,air_air,1000.0,200.0,1019.803902718557,118.0,33.66876152565746,fitted reference value
air_air_data_1.csv,air_air,1000.0,400.0,1077.0329614269008,97.0,32.21326530884305,fitted reference value
air_air_data_1.csv,air_air,2000.0,0.0,2000.0,101.0,16.01598873516025,fitted reference value
air_air_data_1.csv,air_air,2000.0,200.0,2009.975124224178,70.0,15.891464825422986,fitted reference value
air_air_data_1.csv,air_air,2000.0,400.0,2039.607805437114,48.0,15.526247074331799,fitted reference value
air_air_data_1.csv,air_air,3000.0,0.0,3000.0,59.0,6.903643132849802,fitted reference value
air_air_data_1.csv,air_air,3000.0,200.0,3006.6592756745817,76.0,6.862489530888547,fitted reference value
air_air_data_1.csv,air_air,3000.0,400.0,3026.5491900843112,49.0,6.740875272915389,fitted reference value
air_air_data_1.csv,air_air,4000.0,0.0,4000.0,0.0,2.7565462529723974,fitted reference value
air_air_data_1.csv,air_air,4000.0,200.0,4004.9968789001573,0.0,2.7439615774160284,fitted reference value
air_air_data_1.csv,air_air,4000.0,400.0,4019.950248448356,0.0,2.7066624337698784,fitted reference value
air_ground_data.csv,air_ground,0.0,100.0,100.0,157.0,95.77106230395705,fitted reference value
air_ground_data.csv,air_ground,0.0,200.0,200.0,230.0,77.22897014421275,fitted reference value
air_ground_data.csv,air_ground,0.0,300.0,300.0,196.0,66.38259017505874,fitted reference value
air_ground_data.csv,air_ground,0.0,400.0,400.0,155.0,58.68709940212163,fitted reference value
air_ground_data.csv,air_ground,0.0,500.0,500.0,67.0,52.718307351596756,fitted reference value
air_ground_data.csv,air_ground,500.0,100.0,509.9019513592785,172.0,52.193782044736416,fitted reference value
air_ground_data.csv,air_ground,500.0,200.0,538.5164807134504,80.0,50.73341890689068,fitted reference value
air_ground_data.csv,air_ground,500.0,300.0,583.09518948453,150.0,48.60629879245386,fitted reference value
air_ground_data.csv,air_ground,500.0,400.0,640.3124237432849,82.0,46.10302210367984,fitted reference value
air_ground_data.csv,air_ground,500.0,500.0,707.1067811865476,80.0,43.44989422356672,fitted reference value
air_ground_data.csv,air_ground,1000.0,100.0,1004.987562112089,111.0,34.05910331855443,fitted reference value
air_ground_data.csv,air_ground,1000.0,200.0,1019.803902718557,124.0,33.66876152565746,fitted reference value
air_ground_data.csv,air_ground,1000.0,300.0,1044.030650891055,56.0,33.04272637018121,fitted reference value
air_ground_data.csv,air_ground,1000.0,400.0,1077.0329614269008,127.0,32.21326530884305,fitted reference value
air_ground_data.csv,air_ground,1000.0,500.0,1118.033988749895,47.0,31.218098496001968,fitted reference value
air_ground_data.csv,air_ground,1500.0,100.0,1503.3296378372909,98.0,23.37518238656246,fitted reference value
air_ground_data.csv,air_ground,1500.0,200.0,1513.2745950421556,71.0,23.202017817832548,fitted reference value
air_ground_data.csv,air_ground,1500.0,300.0,1529.7058540778355,102.0,22.918601249058803,fitted reference value
air_ground_data.csv,air_ground,1500.0,400.0,1552.4174696260025,52.0,22.53227290536408,fitted reference value
air_ground_data.csv,air_ground,1500.0,500.0,1581.1388300841897,47.0,22.052494681047335,fitted reference value
air_ground_data.csv,air_ground,2000.0,100.0,2002.4984394500786,0.0,15.98472419635948,fitted reference value
air_ground_data.csv,air_ground,2000.0,200.0,2009.975124224178,10.0,15.891464825422986,fitted reference value
air_ground_data.csv,air_ground,2000.0,300.0,2022.3748416156684,12.0,15.737788808038374,fitted reference value
air_ground_data.csv,air_ground,2000.0,400.0,2039.607805437114,13.0,15.526247074331799,fitted reference value
air_ground_data.csv,air_ground,2000.0,500.0,2061.5528128088304,50.0,15.260252404592686,fitted reference value
air_ground_data.csv,air_ground,2500.0,100.0,2501.999200639361,0.0,10.656805973334045,fitted reference value
air_ground_data.csv,air_ground,2500.0,200.0,2507.9872407968905,17.0,10.603139407632876,fitted reference value
air_ground_data.csv,air_ground,2500.0,300.0,2517.935662402834,0.0,10.51447114680671,fitted reference value
air_ground_data.csv,air_ground,2500.0,400.0,2531.7977802344326,38.0,10.391941575346797,fitted reference value
air_ground_data.csv,air_ground,2500.0,500.0,2549.5097567963926,24.0,10.237101402679048,fitted reference value
air_ground_data.csv,air_ground,3000.0,100.0,3001.6662039607268,0.0,6.8933255525783315,fitted reference value
air_ground_data.csv,air_ground,3000.0,200.0,3006.6592756745817,0.0,6.862489530888547,fitted reference value
air_ground_data.csv,air_ground,3000.0,300.0,3014.962686336267,0.0,6.8114825924169216,fitted reference value
air_ground_data.csv,air_ground,3000.0,400.0,3026.5491900843112,0.0,6.740875272915389,fitted reference value
air_ground_data.csv,air_ground,3000.0,500.0,3041.38126514911,0.0,6.6514484673827585,fitted reference value
air_ground_data_1.csv,air_ground,0.0,100.0,100.0,187.0,95.77106230395705,fitted reference value
air_ground_data_1.csv,air_ground,0.0,200.0,200.0,198.0,77.22897014421275,fitted reference value
air_ground_data_1.csv,air_ground,0.0,300.0,300.0,219.0,66.38259017505874,fitted reference value
air_ground_data_1.csv,air_ground,0.0,400.0,400.0,168.0,58.68709940212163,fitted reference value
air_ground_data_1.csv,air_ground,0.0,500.0,500.0,68.0,52.718307351596756,fitted reference value
air_ground_data_1.csv,air_ground,500.0,100.0,509.9019513592785,155.0,52.193782044736416,fitted reference value
air_ground_data_1.csv,air_ground,500.0,200.0,538.5164807134504,84.0,50.73341890689068,fitted reference value
air_ground_data_1.csv,air_ground,500.0,300.0,583.09518948453,128.0,48.60629879245386,fitted reference value
air_ground_data_1.csv,air_ground,500.0,400.0,640.3124237432849,69.0,46.10302210367984,fitted reference value
air_ground_data_1.csv,air_ground,500.0,500.0,707.1067811865476,76.0,43.44989422356672,fitted reference value
air_ground_data_1.csv,air_ground,1000.0,100.0,1004.987562112089,123.0,34.05910331855443,fitted reference value
air_ground_data_1.csv,air_ground,1000.0,200.0,1019.803902718557,111.0,33.66876152565746,fitted reference value
air_ground_data_1.csv,air_ground,1000.0,300.0,1044.030650891055,64.0,33.04272637018121,fitted reference value
air_ground_data_1.csv,air_ground,1000.0,400.0,1077.0329614269008,143.0,32.21326530884305,fitted reference value
air_ground_data_1.csv,air_ground,1000.0,500.0,1118.033988749895,45.0,31.218098496001968,fitted reference value
air_ground_data_1.csv,air_ground,1500.0,100.0,1503.3296378372909,97.0,23.37518238656246,fitted reference value
air_ground_data_1.csv,air_ground,1500.0,200.0,1513.2745950421556,76.0,23.202017817832548,fitted reference value
air_ground_data_1.csv,air_ground,1500.0,300.0,1529.7058540778355,88.0,22.918601249058803,fitted reference value
air_ground_data_1.csv,air_ground,1500.0,400.0,1552.4174696260025,45.0,22.53227290536408,fitted reference value
air_ground_data_1.csv,air_ground,1500.0,500.0,1581.1388300841897,47.0,22.052494681047335,fitted reference value
air_ground_data_1.csv,air_ground,2000.0,100.0,2002.4984394500786,0.0,15.98472419635948,fitted reference value
air_ground_data_1.csv,air_ground,2000.0,200.0,2009.975124224178,11.0,15.891464825422986,fitted reference value
air_ground_data_1.csv,air_ground,2000.0,300.0,2022.3748416156684,11.0,15.737788808038374,fitted reference value
air_ground_data_1.csv,air_ground,2000.0,400.0,2039.607805437114,10.0,15.526247074331799,fitted reference value
air_ground_data_1.csv,air_ground,2000.0,500.0,2061.5528128088304,50.0,15.260252404592686,fitted reference value
air_ground_data_1.csv,air_ground,2500.0,100.0,2501.999200639361,0.0,10.656805973334045,fitted reference value
air_ground_data_1.csv,air_ground,2500.0,200.0,2507.9872407968905,19.0,10.603139407632876,fitted reference value
air_ground_data_1.csv,air_ground,2500.0,300.0,2517.935662402834,0.0,10.51447114680671,fitted reference value
air_ground_data_1.csv,air_ground,2500.0,400.0,2531.7977802344326,42.0,10.391941575346797,fitted reference value
air_ground_data_1.csv,air_ground,2500.0,500.0,2549.5097567963926,22.0,10.237101402679048,fitted reference value
air_ground_data_1.csv,air_ground,3000.0,100.0,3001.6662039607268,0.0,6.8933255525783315,fitted reference value
air_ground_data_1.csv,air_ground,3000.0,200.0,3006.6592756745817,0.0,6.862489530888547,fitted reference value
air_ground_data_1.csv,air_ground,3000.0,300.0,3014.962686336267,0.0,6.8114825924169216,fitted reference value
air_ground_data_1.csv,air_ground,3000.0,400.0,3026.5491900843112,0.0,6.740875272915389,fitted reference value
air_ground_data_1.csv,air_ground,3000.0,500.0,3041.38126514911,0.0,6.6514484673827585,fitted reference value
